seq,program_id,scene_no,key,target_wav,category,program_title,heading,narration
25,base01,3,base01-3,base01-3.wav,基礎看護学,バイタルサイン測定の基本と正常値【保存版】,血圧とSpO2,血圧はだいたい120/80mmHg前後が目安、SpO2は96〜99%くらいが目安なのだ。数値だけでなく、顔色や様子もあわせて見るのが大事なのだ。
26,base01,4,base01-4,base01-4.wav,基礎看護学,バイタルサイン測定の基本と正常値【保存版】,まとめなのだ,まとめなのだ。バイタルは5つをセットで観察して、正常値を覚えておくのだ。前と比べた変化に気づけるようになるのが目標なのだ。
27,base02,1,base02-1,base02-1.wav,基礎看護学,感染予防の基本｜スタンダードプリコーションと手指衛生5つの瞬間,基本はスタンダードプリコーションなのだ,感染対策の基本がスタンダードプリコーション、標準予防策なのだ。すべての患者さんの血液や体液、分泌物は感染のおそれがあるものとして扱うのだ。
28,base02,2,base02-2,base02-2.wav,基礎看護学,感染予防の基本｜スタンダードプリコーションと手指衛生5つの瞬間,手指衛生 5つの瞬間,手指衛生はとても大事で、WHOの5つの瞬間があるのだ。患者さんに触れる前、清潔操作の前、体液に触れたあとなどに、しっかり行うのだ。
29,base02,3,base02-3,base02-3.wav,基礎看護学,感染予防の基本｜スタンダードプリコーションと手指衛生5つの瞬間,個人防護具(PPE),手袋・マスク・ガウン・ゴーグルなどの防護具は、着る順番と外す順番が決まっているのだ。外すときは汚染を広げないように注意するのだ。
30,base02,4,base02-4,base02-4.wav,基礎看護学,感染予防の基本｜スタンダードプリコーションと手指衛生5つの瞬間,まとめなのだ,まとめなのだ。標準予防策はすべての人に、手指衛生がいちばん大事なのだ。防護具の着脱手順もしっかり覚えるのだ。
31,base03,1,base03-1,base03-1.wav,基礎看護学,看護過程の進め方｜アセスメントから看護診断まで,看護過程は問題解決のステップなのだ,看護過程は、患者さんの問題を解決するためのステップなのだ。情報収集、アセスメント、看護診断、計画、実施、評価の順に進むのだ。
32,base03,2,base03-2,base03-2.wav,基礎看護学,看護過程の進め方｜アセスメントから看護診断まで,アセスメントがカギ,いちばんのカギはアセスメントなのだ。集めた情報を主観的なS情報と客観的なO情報に分けて、なぜその状態なのかを分析するのだ。
33,base03,3,base03-3,base03-3.wav,基礎看護学,看護過程の進め方｜アセスメントから看護診断まで,計画から評価まで,次に達成したい目標を立てて、具体的なケアを計画して実施するのだ。最後にうまくいったか評価して、必要なら計画を見直すのだ。
34,base03,4,base03-4,base03-4.wav,基礎看護学,看護過程の進め方｜アセスメントから看護診断まで,まとめなのだ,まとめなのだ。看護過程は6つのステップで、アセスメントが中心なのだ。評価してまた繰り返すことで、ケアがよくなっていくのだ。
35,base04,1,base04-1,base04-1.wav,基礎看護学,SOAPの書き方入門｜記録が苦手でも書けるコツ,SOAPは記録の型なのだ,SOAPは記録を書くときの型なのだ。Sは患者さんの言葉などの主観的情報、Oは観察やデータの客観的情報、Aはアセスメント、Pは計画なのだ。
36,base04,2,base04-2,base04-2.wav,基礎看護学,SOAPの書き方入門｜記録が苦手でも書けるコツ,SとOの見分け方,SとOの見分け方なのだ。患者さんが痛いと言えばS、体温37.8度のように測ったり見たりした事実はOなのだ。ここを混ぜないのがコツなのだ。
37,base04,3,base04-3,base04-3.wav,基礎看護学,SOAPの書き方入門｜記録が苦手でも書けるコツ,AとPを書く,AはSとOから考えた評価で、Pはこれからのケアなのだ。SとOからA、AからPへ、理由がつながるように書くと分かりやすいのだ。
38,base04,4,base04-4,base04-4.wav,基礎看護学,SOAPの書き方入門｜記録が苦手でも書けるコツ,まとめなのだ,まとめなのだ。SOAPは4つに分けて、事実と自分の評価を混ぜないのだ。つながりを意識すれば、記録がぐっと書きやすくなるのだ。
39,skill01,1,skill01-1,skill01-1.wav,看護技術,静脈血採血の手順とコツ｜駆血から抜針まで,採血の準備をするのだ,採血はまず準備からなのだ。物品をそろえて、患者さんの本人確認と説明をするのだ。駆血帯は刺すところより心臓側に巻くのだ。
40,skill01,2,skill01-2,skill01-2.wav,看護技術,静脈血採血の手順とコツ｜駆血から抜針まで,血管を選んで刺す,血管は肘の正中皮静脈などを選ぶのだ。アルコール綿で消毒して、だいたい15から20度くらいの角度で刺入するのだ。強いしびれや痛みは神経損傷のサインだから、すぐ抜くのだ。
41,skill01,3,skill01-3,skill01-3.wav,看護技術,静脈血採血の手順とコツ｜駆血から抜針まで,採血して抜針・止血,採血管は決まった順番で採るのだ。終わったら駆血帯を外してから抜針して、刺したところをしっかり圧迫止血するのだ。もまないのがポイントなのだ。
42,skill01,4,skill01-4,skill01-4.wav,看護技術,静脈血採血の手順とコツ｜駆血から抜針まで,まとめなのだ,まとめなのだ。駆血して消毒して刺入、しびれなどの神経症状に注意なのだ。抜いたあとはもまずに圧迫止血するのだ。
43,skill02,1,skill02-1,skill02-1.wav,看護技術,膀胱留置カテーテルの挿入｜無菌操作のポイント,膀胱留置カテーテルとは,膀胱留置カテーテルは、尿道から膀胱に管を入れて、おしっこを持続的に出すものなのだ。感染を防ぐために無菌操作が基本なのだ。
44,skill02,2,skill02-2,skill02-2.wav,看護技術,膀胱留置カテーテルの挿入｜無菌操作のポイント,解剖の違いに注意,男性と女性で尿道の長さが違うのだ。女性は短く、男性は長くてカーブがあるのだ。挿入前は外尿道口をしっかり消毒するのだ。
45,skill02,3,skill02-3,skill02-3.wav,看護技術,膀胱留置カテーテルの挿入｜無菌操作のポイント,挿入と固定,管を入れて尿が出てきたのを確認してから、固定水でバルーンをふくらませて抜けないようにするのだ。チューブのねじれや閉塞がないかも観察するのだ。
46,skill02,4,skill02-4,skill02-4.wav,看護技術,膀胱留置カテーテルの挿入｜無菌操作のポイント,まとめなのだ,まとめなのだ。膀胱留置カテーテルは無菌操作で、男女の解剖差を意識して入れるのだ。尿路感染を防ぐ管理がとても大切なのだ。
47,skill03,1,skill03-1,skill03-1.wav,看護技術,褥瘡予防とポジショニング｜体位変換の基本,褥瘡は『床ずれ』なのだ,褥瘡は、いわゆる床ずれなのだ。長く圧迫されて血流が悪くなった皮膚がいたんでしまうのだ。仙骨やかかとなど、骨が出たところにできやすいのだ。
48,skill03,2,skill03-2,skill03-2.wav,看護技術,褥瘡予防とポジショニング｜体位変換の基本,予防のポイント,予防の基本は体位変換なのだ。目安は2時間ごと、30度くらいの側臥位にして、圧とずれを減らすのだ。スキンケアや栄養管理も大切なのだ。
49,skill03,3,skill03-3,skill03-3.wav,看護技術,褥瘡予防とポジショニング｜体位変換の基本,評価:DESIGN-R®,できてしまった褥瘡はDESIGN-R®で評価するのだ。深さや滲出液、大きさなどを点数にして重症度を見て、記録して経過を追うのだ。
50,skill03,4,skill03-4,skill03-4.wav,看護技術,褥瘡予防とポジショニング｜体位変換の基本,まとめなのだ,まとめなのだ。褥瘡は圧迫で起こるから、体位変換で予防するのだ。できたらDESIGN-R®で評価して、ケアにつなげるのだ。
51,skill04,1,skill04-1,skill04-1.wav,看護技術,経鼻胃管(NGチューブ)挿入と管理のポイント,経鼻胃管とは,経鼻胃管、NGチューブは、鼻から胃まで入れる管なのだ。栄養や薬を入れたり、胃の中を減圧したりするのに使うのだ。
52,skill04,2,skill04-2,skill04-2.wav,看護技術,経鼻胃管(NGチューブ)挿入と管理のポイント,入れる長さの目安,入れる長さは、鼻先から耳たぶ、そしてみぞおちまでを測って目安にするのだ。印をつけて、ゆっくり進めるのだ。
53,skill04,3,skill04-3,skill04-3.wav,看護技術,経鼻胃管(NGチューブ)挿入と管理のポイント,位置確認が超重要なのだ,いちばん大事なのは位置確認なのだ。気管に間違って入っていないか、胃の内容物の確認やレントゲンでチェックするのだ。間違って肺に入れると重大な事故になるから、慎重に確認するのだ。
54,skill04,4,skill04-4,skill04-4.wav,看護技術,経鼻胃管(NGチューブ)挿入と管理のポイント,まとめなのだ,まとめなのだ。経鼻胃管は長さを測って入れて、必ず位置を確認するのだ。しっかり固定して観察を続けるのだ。
55,skill05,1,skill05-1,skill05-1.wav,看護技術,口腔・鼻腔・気管吸引の手順と注意点,吸引は分泌物を取り除くケアなのだ,吸引は、自分で出せない痰や唾液を吸い出して気道を確保するケアなのだ。でも吸っているあいだは酸素も吸われるから、低酸素に注意なのだ。
56,skill05,2,skill05-2,skill05-2.wav,看護技術,口腔・鼻腔・気管吸引の手順と注意点,吸引のポイント,1回の吸引は、だいたい10から15秒以内で手早く行うのだ。清潔操作を守って、SpO2を見ながら患者さんの様子を観察するのだ。
57,skill05,3,skill05-3,skill05-3.wav,看護技術,口腔・鼻腔・気管吸引の手順と注意点,吸引のあと,吸引のあとは呼吸状態を確認して、酸素化がもどるのを待つのだ。取れた分泌物の量や性状も記録しておくのだ。
58,skill05,4,skill05-4,skill05-4.wav,看護技術,口腔・鼻腔・気管吸引の手順と注意点,まとめなのだ,まとめなのだ。吸引は短時間で清潔に、低酸素を防ぐのが大事なのだ。SpO2を見ながら、無理せず行うのだ。
59,pharm01,1,pharm01-1,pharm01-1.wav,薬理学,降圧薬の種類と作用機序をまとめて理解,血圧を下げる薬はいろいろあるのだ,降圧薬は種類がたくさんあって、それぞれ作用する場所が違うのだ。いくつか組み合わせて使うこともあるのだ。副作用もセットで覚えるのだ。
60,pharm01,2,pharm01-2,pharm01-2.wav,薬理学,降圧薬の種類と作用機序をまとめて理解,血管に効くタイプ,Ca拮抗薬は血管を広げて血圧を下げるのだ。ARBやACE阻害薬はRAA系を抑えるタイプで、特にACE阻害薬は空咳の副作用に注意なのだ。
61,pharm01,3,pharm01-3,pharm01-3.wav,薬理学,降圧薬の種類と作用機序をまとめて理解,水分・心臓に効くタイプ,利尿薬は体の余分な水分を出して血圧を下げるのだ。β遮断薬は心臓の働きをおさえるのだ。利尿薬では電解質の変化に注意なのだ。
62,pharm01,4,pharm01-4,pharm01-4.wav,薬理学,降圧薬の種類と作用機序をまとめて理解,まとめなのだ,まとめなのだ。降圧薬は作用する場所で分類して覚えるのだ。ACE阻害薬の空咳など、代表的な副作用を観察するのが大事なのだ。
63,pharm02,1,pharm02-1,pharm02-1.wav,薬理学,インスリン製剤の種類と作用時間【超速効〜持効型】,インスリンは血糖を下げるホルモンなのだ,インスリンは血糖を下げる唯一のホルモンなのだ。足りないと高血糖になるから、注射で補うのだ。効く時間によって種類が分かれているのだ。
64,pharm02,2,pharm02-2,pharm02-2.wav,薬理学,インスリン製剤の種類と作用時間【超速効〜持効型】,作用時間のちがい,超速効型や速効型は食事のときの血糖に合わせるタイプ、中間型や持効型はベースの血糖をおさえるタイプなのだ。両方を混ぜた混合型もあるのだ。
65,pharm02,3,pharm02-3,pharm02-3.wav,薬理学,インスリン製剤の種類と作用時間【超速効〜持効型】,低血糖に注意なのだ,いちばん注意したいのが低血糖なのだ。冷や汗や動悸、手のふるえが出て、ひどいと意識障害になるのだ。気づいたらすぐに糖分を補給するのだ。
66,pharm02,4,pharm02-4,pharm02-4.wav,薬理学,インスリン製剤の種類と作用時間【超速効〜持効型】,まとめなのだ,まとめなのだ。インスリンは血糖を下げるホルモンで、作用時間で使い分けるのだ。低血糖の症状を覚えて、すぐ対応できるようにするのだ。
67,pharm03,1,pharm03-1,pharm03-1.wav,薬理学,抗菌薬の分類と使い分けの基本,抗菌薬は細菌をやっつける薬なのだ,抗菌薬は細菌をやっつける薬なのだ。かぜのウイルスには効かないのがポイントなのだ。作用のしかたでいくつかに分類されるのだ。
68,pharm03,2,pharm03-2,pharm03-2.wav,薬理学,抗菌薬の分類と使い分けの基本,代表的な分類,βラクタム系は細菌の細胞壁を壊すのだ。マクロライド系はタンパク質を作れなくして、キノロン系はDNAを作れなくするのだ。
69,pharm03,3,pharm03-3,pharm03-3.wav,薬理学,抗菌薬の分類と使い分けの基本,耐性菌に注意,抗菌薬を使いすぎると、効かない耐性菌が出てくるのだ。MRSAが有名なのだ。だから正しく使うことが大切で、薬のアレルギーも必ず確認するのだ。
70,pharm03,4,pharm03-4,pharm03-4.wav,薬理学,抗菌薬の分類と使い分けの基本,まとめなのだ,まとめなのだ。抗菌薬は細菌に効く薬で、作用機序で分類するのだ。耐性菌を作らないように、正しく使うのが大事なのだ。
71,pharm04,1,pharm04-1,pharm04-1.wav,薬理学,利尿薬まとめ｜ループ・サイアザイド・K保持性,利尿薬は尿を増やす薬なのだ,利尿薬は尿を増やして、体の余分な水分を減らす薬なのだ。むくみや高血圧、心不全などに使うのだ。腎臓のどこに効くかで分類するのだ。
72,pharm04,2,pharm04-2,pharm04-2.wav,薬理学,利尿薬まとめ｜ループ・サイアザイド・K保持性,ループとサイアザイド,ループ利尿薬は作用が強くて、カリウムが下がりやすいのだ。サイアザイド系はおだやかなのだ。どちらも低カリウム血症に注意なのだ。
73,pharm04,3,pharm04-3,pharm04-3.wav,薬理学,利尿薬まとめ｜ループ・サイアザイド・K保持性,カリウム保持性,カリウム保持性利尿薬は、その名のとおりカリウムを失いにくいのだ。スピロノラクトンなどがあって、こちらは逆に高カリウムに注意なのだ。
74,pharm04,4,pharm04-4,pharm04-4.wav,薬理学,利尿薬まとめ｜ループ・サイアザイド・K保持性,まとめなのだ,まとめなのだ。利尿薬は作用部位で分類して、カリウムの変化が重要なのだ。電解質をしっかり観察するのだ。
75,dis01,1,dis01-1,dis01-1.wav,疾患・病態,心不全の病態と看護｜左心不全と右心不全の違い,心不全はポンプ機能の低下なのだ,心不全は、心臓のポンプの働きが弱って、十分に血液を送れなくなった状態なのだ。左心不全と右心不全で症状が違うのだ。
76,dis01,2,dis01-2,dis01-2.wav,疾患・病態,心不全の病態と看護｜左心不全と右心不全の違い,左心不全,左心不全では、肺に血液がたまる肺うっ血が起こるのだ。息切れや、横になると苦しくて起き上がる起座呼吸が出るのだ。
77,dis01,3,dis01-3,dis01-3.wav,疾患・病態,心不全の病態と看護｜左心不全と右心不全の違い,右心不全,右心不全では、全身に血液がたまるのだ。足のむくみや頸静脈の怒張、体重の増加が見られるのだ。
78,dis01,4,dis01-4,dis01-4.wav,疾患・病態,心不全の病態と看護｜左心不全と右心不全の違い,まとめなのだ,まとめなのだ。心不全はポンプ機能の低下で、左心不全は肺うっ血、右心不全は体のうっ血が特徴なのだ。むくみや体重の変化を観察するのだ。
79,dis02,1,dis02-1,dis02-1.wav,疾患・病態,糖尿病の3大合併症をイメージで覚える,糖尿病はじわじわ血管をいためるのだ,糖尿病は、高い血糖が続くことで血管がじわじわいたんでいく病気なのだ。特に細い血管がやられて、3大合併症が起こるのだ。
80,dis02,2,dis02-2,dis02-2.wav,疾患・病態,糖尿病の3大合併症をイメージで覚える,細小血管の3大合併症,3大合併症は、神経障害・網膜症・腎症なのだ。覚え方は『しめじ』とも言われるのだ。手足のしびれ、目の見えにくさ、腎臓の悪化が出るのだ。
81,dis02,3,dis02-3,dis02-3.wav,疾患・病態,糖尿病の3大合併症をイメージで覚える,観察と指導,神経障害があると足のキズに気づきにくいから、フットケアが大切なのだ。血糖をしっかりコントロールして、合併症の進行を防ぐのだ。
82,dis02,4,dis02-4,dis02-4.wav,疾患・病態,糖尿病の3大合併症をイメージで覚える,まとめなのだ,まとめなのだ。糖尿病は高血糖で血管をいためて、神経・目・腎臓に合併症が出るのだ。血糖コントロールとフットケアで予防するのだ。
83,dis03,1,dis03-1,dis03-1.wav,疾患・病態,脳梗塞の分類と症状｜FASTで早期発見,脳梗塞は脳の血管がつまる病気なのだ,脳梗塞は、脳の血管がつまって血流が途絶えてしまう病気なのだ。脳細胞は酸素不足にとても弱いから、早い対応が大事なのだ。
84,dis03,2,dis03-2,dis03-2.wav,疾患・病態,脳梗塞の分類と症状｜FASTで早期発見,3つのタイプ,脳梗塞には、太い血管の動脈硬化によるアテローム血栓性、心臓の血栓が飛ぶ心原性、細い血管がつまるラクナ梗塞の3タイプがあるのだ。
85,dis03,3,dis03-3,dis03-3.wav,疾患・病態,脳梗塞の分類と症状｜FASTで早期発見,FASTで早期発見,早期発見の合言葉がFASTなのだ。顔のゆがみ、腕が上がらない、ろれつが回らない、そして発症した時刻を確認するのだ。t-PA治療は時間が勝負なのだ。
86,dis03,4,dis03-4,dis03-4.wav,疾患・病態,脳梗塞の分類と症状｜FASTで早期発見,まとめなのだ,まとめなのだ。脳梗塞は血管がつまる病気で、3つのタイプを区別するのだ。FASTで早く気づいて、すぐ治療につなげることが大事なのだ。
87,dis04,1,dis04-1,dis04-1.wav,疾患・病態,COPDの病態と看護｜口すぼめ呼吸の意味,COPDは息が吐きにくくなる病気なのだ,COPDは、おもにタバコが原因で、息が吐きにくくなる病気なのだ。気道がせまくなったり肺胞が壊れたりして、ゆっくり進んでいくのだ。
88,dis04,2,dis04-2,dis04-2.wav,疾患・病態,COPDの病態と看護｜口すぼめ呼吸の意味,症状と呼吸の工夫,慢性の咳や痰、動いたときの息切れが出るのだ。口すぼめ呼吸をすると気道がつぶれにくくなって、息が吐きやすくなるのだ。
89,dis04,3,dis04-3,dis04-3.wav,疾患・病態,COPDの病態と看護｜口すぼめ呼吸の意味,CO2ナルコーシスに注意,注意したいのがCO2ナルコーシスなのだ。むやみに高濃度の酸素を投与すると呼吸が弱まることがあるから、酸素は指示された量を守るのだ。
90,dis04,4,dis04-4,dis04-4.wav,疾患・病態,COPDの病態と看護｜口すぼめ呼吸の意味,まとめなのだ,まとめなのだ。COPDは息が吐きにくい病気で、口すぼめ呼吸が役立つのだ。酸素投与は慎重に、栄養管理も大切なのだ。
91,mat01,1,mat01-1,mat01-1.wav,母性・小児,正常分娩の経過と看護｜分娩第1期〜第4期,分娩は4つの時期に分かれるのだ,正常分娩は4つの時期に分かれるのだ。第1期は陣痛から子宮口が全開まで、第2期は赤ちゃんが生まれるまで、第3期は胎盤が出るまで、第4期は分娩後の2時間なのだ。
92,mat01,2,mat01-2,mat01-2.wav,母性・小児,正常分娩の経過と看護｜分娩第1期〜第4期,分娩の3要素,お産がうまく進むには3要素が大事なのだ。押し出す力の娩出力、通り道の産道、そして赤ちゃんなどの娩出物なのだ。
93,mat01,3,mat01-3,mat01-3.wav,母性・小児,正常分娩の経過と看護｜分娩第1期〜第4期,観察と看護,看護では陣痛の間隔や強さ、赤ちゃんの心拍を確認するのだ。産婦さんが不安にならないように、呼吸の誘導や声かけをするのが大切なのだ。
94,mat01,4,mat01-4,mat01-4.wav,母性・小児,正常分娩の経過と看護｜分娩第1期〜第4期,まとめなのだ,まとめなのだ。分娩は4つの時期に分かれて、3要素で進むのだ。お母さんと赤ちゃん、両方の観察を続けるのだ。
95,ped01,1,ped01-1,ped01-1.wav,母性・小児,新生児の生理とアセスメント｜アプガースコア,生まれた直後を評価するのだ,生まれた直後の赤ちゃんはアプガースコアで評価するのだ。出生1分後と5分後に、0から10点でつけるのだ。
96,ped01,2,ped01-2,ped01-2.wav,母性・小児,新生児の生理とアセスメント｜アプガースコア,アプガーの5項目,見るのは5つ、心拍数、呼吸、筋緊張、刺激への反射、そして皮膚の色なのだ。点数が高いほど元気なサインなのだ。
97,ped01,3,ped01-3,ped01-3.wav,母性・小児,新生児の生理とアセスメント｜アプガースコア,新生児の生理的な変化,新生児には正常な変化があるのだ。少し体重が減る生理的体重減少や、皮膚が黄色くなる生理的黄疸、モロー反射などの原始反射が見られるのだ。
98,ped01,4,ped01-4,ped01-4.wav,母性・小児,新生児の生理とアセスメント｜アプガースコア,まとめなのだ,まとめなのだ。新生児はアプガースコアの5項目で評価するのだ。生理的な体重減少や黄疸など、正常な変化も理解しておくのだ。
99,psy01,1,psy01-1,psy01-1.wav,精神看護,統合失調症の症状と看護｜陽性症状と陰性症状,症状は2つに分けて考えるのだ,統合失調症の症状は、大きく陽性症状と陰性症状に分けて考えるのだ。経過によって出方が変わるのだ。
100,psy01,2,psy01-2,psy01-2.wav,精神看護,統合失調症の症状と看護｜陽性症状と陰性症状,陽性症状,陽性症状は、本来ないものが現れる症状なのだ。幻覚、特に幻聴や、妄想、考えがまとまらないなどが見られるのだ。
101,psy01,3,psy01-3,psy01-3.wav,精神看護,統合失調症の症状と看護｜陽性症状と陰性症状,陰性症状,陰性症状は、本来あるものが減ってしまう症状なのだ。感情が乏しくなったり、意欲が低下して引きこもりがちになったりするのだ。
102,psy01,4,psy01-4,psy01-4.wav,精神看護,統合失調症の症状と看護｜陽性症状と陰性症状,まとめなのだ,まとめなのだ。陽性症状は幻覚や妄想、陰性症状は意欲低下などなのだ。お薬を続ける支援と、再発予防の関わりが大切なのだ。
103,psy02,1,psy02-1,psy02-1.wav,精神看護,うつ病の理解と関わり方｜してはいけない声かけ,うつ病は気分の障害なのだ,うつ病は、気分が長く強く落ち込む病気なのだ。何をしても楽しめなくなって、不眠や食欲低下など体の症状も出るのだ。
104,psy02,2,psy02-2,psy02-2.wav,精神看護,うつ病の理解と関わり方｜してはいけない声かけ,してはいけない声かけ,気をつけたいのが声かけなのだ。がんばってという励ましは、もう十分がんばっている本人を、さらに追いつめてしまうのだ。まずは気持ちを受け止めるのが大事なのだ。
